TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST
16829.765760079266,17325.700639475173,16482.21207743157,20433.048048772314
14716.403841741963,14714.913942927886,14628.094230335228,16138.231253871732
14361.666552786048,14292.688245637992,14121.96844737782,15597.13003733141
14884.183024854354,15057.468462252455,14782.749237444132,16273.878148541884
14367.909832023503,14344.573811674432,14270.574490225097,15934.565219473607
14466.436606295103,14415.14802257558,14299.136434703058,15863.17550969205
14296.31571839067,14247.017840394226,14116.507247638183,15786.112720891144
14297.558443976104,14437.245031647863,14336.763414548082,15616.681471469778
14306.0414345677,14310.73665894196,14256.995483778262,16025.01055521543
14397.42337415743,14426.511608364352,14279.567829664704,15742.378699421866
14615.80086146629,14530.081865152437,14378.945633025853,16056.510082559786
14773.28723561146,14748.445024640341,14615.147566739262,15845.419777937255
14176.92554576338,14341.49439431594,14131.345503369232,15640.300462293297
14213.844404278447,14248.519374883384,14151.454120392675,15648.670162537515
14295.155025834803,14328.151079707604,14309.586510214447,15969.624915688497
14802.001517411394,14916.723800514108,14887.665264876405,16084.18860546585
14514.906948079102,14643.015821034116,14355.11813391265,15828.849600237605
14123.668250841874,14140.830004314925,13896.265309520873,15416.802569678815
14570.373810641451,14805.222846018096,14580.11951723729,16235.170482304338
14607.74228976691,14533.639895753457,14418.276376848398,15925.1167473336
14309.8388470709,14271.531273953931,14098.507252864085,15653.393764837558
14571.693656251558,14583.260920999835,14561.750461682554,15984.637922206066
14736.529168355297,14486.855594918547,14369.171755260697,16120.953717809949
14292.432117742725,14242.697272447254,14190.421340623125,15539.240008402454
14511.248124083964,14624.999623565382,14228.426637025987,16035.287522239747
15012.255717999418,14969.19796929599,14710.898313020276,16540.73027962425
14601.707125195207,14593.623621307852,14377.797385597622,15745.172328522334
14390.48473813129,14220.795323388205,14315.351988278697,16026.41474812541
14597.344532077213,14477.110527034474,14423.480916195018,15727.545159056432
14355.493094532216,14278.614499873915,14056.084238619165,15697.326303816213
14397.702915273527,14359.736857207212,14113.363696865323,15742.778048452756
14631.170312906583,14553.353069229674,14290.99809446578,16049.152508400086
14578.809089497187,14543.510687046071,14430.65995859222,16019.057953312884
14169.972344507822,14198.747551644617,14089.40752602085,15670.701632538525
14679.502899252873,14690.84333594116,14491.767412112988,15967.264294216466
14354.901294249643,14204.96707647376,14154.596069332993,15954.578994583517
14987.30746297358,14859.574879562078,14664.514060379266,16354.335654525326
14475.793702940386,14618.252358835387,14369.707613820647,15952.416665753257
14515.093448567737,14545.143687800079,14413.40060015915,15989.033031314942
14642.489590383177,14479.68131278629,14527.569236395122,16125.782579142486
14028.061750211979,14115.219731527988,13998.748505273637,15368.926582292446
14909.826198859231,14754.982676957246,14434.051982788966,16025.189893671637
14541.446373040624,14388.362732661668,14152.618770942865,15673.042015170213
14730.016025406541,14611.364489771748,14477.549923967728,16071.337228907709
14565.345838137953,14569.929948183597,14521.201481326392,15858.277920928967
14504.813247264883,14417.765592570919,14335.626529259449,16110.090692270169
14715.556792257146,14653.375504464084,14528.998351419901,15982.271001261191
14340.935246627454,14518.980211929531,14162.010204432772,15763.075817240267
14791.277640282491,14813.6386834469,14678.849038566479,16254.896842083173
14798.664820830494,14889.454220914686,14754.362173397078,16283.445730943948
14576.715802988683,14743.075157421436,14530.987408873818,16154.695589469895
